plant_species,synonyms,family,native_introduced,color,fleshy_dry,dehiscent_indehiscent,number_s_per_f,number_s_per_f_uncertainty,number_s_per_f_lower_bound,number_s_per_f_upper_bound,number_s_per_f_sd_se,number_s_per_f_sample_size,s_length,s_length_uncertainty,s_length_lower_bound,s_length_upper_bound,s_length_sd_se,s_length_sample_size,s_width,s_width_uncertainty,s_width_lower_bound,s_width_upper_bound,s_width_sd_se,s_width_sample_size,s_mass,dry_wet_s,s_mass_uncertainty,s_mass_lower_bound,s_mass_upper_bound,s_mass_sd_se,s_mass_sample_size,f_length,f_length_uncertainty,f_length_lower_bound,f_length_upper_bound,f_length_sd_se,f_length_sample_size,f_width,f_width_uncertainty,f_width_lower_bound,f_width_upper_bound,f_width_sd_se,f_width_sample_size,f_mass,dry_wet_f,f_mass_uncertainty,f_mass_lower_bound,f_mass_upper_bound,f_mass_sd_se,f_mass_sample_size,citations
Inga macrophylla ,,,,,,,19,SD,8,29,5.5,100,36,SE,NA,NA,0.4,100,18,SE,NA,NA,0.2,100,4.7,W,SE,NA,NA,0.08,100,NA,Range,300,450,NA,0,NA,Range,40,70,NA,0,57.8,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Rodrigues 2021, Guimarães 2008"
Inga macrophylla ,,,,,,,17,None Specified,NA,NA,NA,5,13.5,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,0.23,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Rodrigues 2021, Guimarães 2008"
Inga macrophylla ,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1.5,D,SE,NA,NA,0.06,100,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Rodrigues 2021, Guimarães 2008"
Inga marginata,Inga marginata,Leguminosae,N,Green,F,I,10,None Specified,NA,NA,NA,6,8.5,None Specified,NA,NA,NA,5,7.775,None Specified,NA,NA,NA,5,0.2,W,None Specified,NA,NA,NA,0,120,None Specified,NA,NA,NA,5,12.5,None Specified,NA,NA,NA,5,2.4,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga marginata,,,,,,,10.5,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,7,None Specified,NA,NA,NA,6,0.2,D,None Specified,NA,NA,NA,0,63.07647059,SD,NA,NA,15.49776312,17,NA,,NA,NA,NA,NA,7.9,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga marginata,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.12,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga marginata,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.3,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga pezizifera,"Feuilleea pezizifera, Inga microstachya, Inga riopalenquensis, Inga subsericantha, Inga urnifera",Leguminosae,N,Green,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.45,D,SE,NA,NA,0.02,100,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Inga pezizifera,,,,,,,7,SD,2,13,2.8,100,20,SE,NA,NA,0.2,100,10,SE,NA,NA,0.1,100,0.82,W,SE,NA,NA,0.01,100,153,None Specified,NA,NA,NA,1,44.9,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Rodrigues 2021, http://legacy.tropicos.org/Image/81263"
Inga rubiginosa,"Feuilleea rubiginosa, Mimosa rubiginosa, Inga standleyana",Leguminosae,N,Red/Brown,F,I,NA,,NA,NA,NA,NA,14,SD,NA,NA,3,3,9,SD,NA,NA,1,3,NA,,,NA,NA,NA,NA,268.6,None Specified,NA,NA,NA,1,37.9,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Oliveira 2000, Roosmalen 1988"
Inga semialata,Inga marginata,Leguminosae,N,Green,F,I,10,None Specified,NA,NA,NA,6,8.5,None Specified,NA,NA,NA,5,7.775,None Specified,NA,NA,NA,5,0.2,W,None Specified,NA,NA,NA,0,120,None Specified,NA,NA,NA,5,12.5,None Specified,NA,NA,NA,5,2.4,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga semialata,,,,,,,10.5,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,7,None Specified,NA,NA,NA,6,0.2,D,None Specified,NA,NA,NA,0,63.07647059,SD,NA,NA,15.49776312,17,NA,,NA,NA,NA,NA,7.9,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga semialata,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.12,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga semialata,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.3,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Foster 1985, Kattge 2011, http://legacy.tropicos.org/Image/100498960"
Inga stenoptera,,Leguminosae,N,Green,F,I,10.75,None Specified,NA,NA,NA,5,25.5,None Specified,NA,NA,NA,5,9,None Specified,NA,NA,NA,6,0.75510606,W,None Specified,NA,NA,NA,5,220,None Specified,NA,NA,NA,5,17.5,None Specified,NA,NA,NA,5,8.8,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2007, Stevenson 2002"
Inga stenoptera,,,,,,,10,None Specified,NA,NA,NA,6,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.82,W,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,8.91228687,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Stevenson 2007, Stevenson 2002"
Inga stenoptera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.45172888,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,24.9455556,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Stevenson 2007, Stevenson 2002"
Inga stenoptera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,29.4,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2007, Stevenson 2002"
Inga tenuistipula,Inga guentheri,Leguminosae,N,Green,F,I,15,None Specified,NA,NA,NA,5,17,None Specified,NA,NA,NA,5,9.4,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,200,None Specified,NA,NA,NA,5,28.5,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,Stevenson 2023
Inga thibaudiana,,Leguminosae,N,Green,F,I,14,None Specified,NA,NA,NA,0,13,None Specified,NA,NA,NA,5,4.8,None Specified,NA,NA,NA,6,0.166,W,SD,NA,NA,0.04,20,128,None Specified,NA,NA,NA,0,22.5,None Specified,NA,NA,NA,0,8.68,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Stevenson 2002, Guimarães 2008, Peña-Claros 2001, Lapenta 2003, Pinzón-Navarro 2010, Knörr 2010, Norford personal observation"
Inga thibaudiana,,,,,,,NA,Range,10,20,NA,0,NA,Range,12,14,NA,0,NA,,NA,NA,NA,NA,0.2,D,None Specified,NA,NA,NA,0,210,None Specified,NA,NA,NA,5,18,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Guimarães 2008, Peña-Claros 2001, Lapenta 2003, Pinzón-Navarro 2010, Knörr 2010, Norford personal observation"
Inga thibaudiana,,,,,,,16,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.21,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Guimarães 2008, Peña-Claros 2001, Lapenta 2003, Pinzón-Navarro 2010, Knörr 2010, Norford personal observation"
Inga thibaudiana,,,,,,,16.08928571,SD,NA,NA,5.170815957,56,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.1,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Stevenson 2002, Guimarães 2008, Peña-Claros 2001, Lapenta 2003, Pinzón-Navarro 2010, Knörr 2010, Norford personal observation"
Iriartea deltoidea,,Arecaceae,N,Green/Yellow/Blue/Black,D,I,NA,,NA,NA,NA,NA,22.5,None Specified,NA,NA,NA,5,20,None Specified,NA,NA,NA,6,3.86,W,None Specified,NA,NA,NA,30,NA,Range,28,40,NA,0,34,None Specified,NA,NA,NA,5,8.06,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Kissling 2019, Stevenson 2002, Kuprewicz 2013, Paine 2016, Paine 2007, Vargas 2013"
Iriartea deltoidea,,,,,,,1,None Specified,NA,NA,NA,6,NA,Range,20,25,NA,0,24,None Specified,NA,NA,NA,50,2.9,NA,SD,NA,NA,0.9,50,NA,Range,20,30,NA,0,NA,Range,20,27,NA,0,17.84615,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Kissling 2019, Stevenson 2002, Kuprewicz 2013, Paine 2016, Paine 2007, Vargas 2013"
Iriartea deltoidea,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.91,D,SD,NA,NA,1.03,10,35,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Kissling 2019, Stevenson 2002, Kuprewicz 2013, Paine 2016, Paine 2007, Vargas 2013"
Iriartea deltoidea,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,4.92915,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Kissling 2019, Stevenson 2002, Kuprewicz 2013, Paine 2016, Paine 2007, Vargas 2013"
Iriartea deltoidea,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,21.25,None Specified,NA,NA,NA,5,3.9,W,SD,NA,NA,0.4,10,34,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Kissling 2019, Stevenson 2002, Kuprewicz 2013, Paine 2016, Paine 2007, Vargas 2013"
Iriartea deltoidea,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7.0992,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Kissling 2019, Stevenson 2002, Kuprewicz 2013, Paine 2016, Paine 2007, Vargas 2013"
Iryanthera crassifolia,Virola papillosa,Myristicaceae,N,Green/Red,F,D,1,None Specified,NA,NA,NA,1,18.8,None Specified,NA,NA,NA,1,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,33,None Specified,NA,NA,NA,0,26,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,"Smith 1938 (Iryanthera), Lopes 2023, https://collections-botany.fieldmuseum.org/catalogue/2963138"
Iryanthera crassifolia,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,18.3,None Specified,NA,NA,NA,1,13.9,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Smith 1938 (Iryanthera), Lopes 2023, https://collections-botany.fieldmuseum.org/catalogue/2963138"
Iryanthera sagotiana,,Myristicaceae,N,Green/Red,F,D,1,None Specified,NA,NA,NA,1,NA,,NA,NA,NA,NA,21.9,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,22,None Specified,NA,NA,NA,0,33.1,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Boissier 2020, Erard 1989, Smith 1938 (Iryanthera), Lopes 2023"
Iryanthera sagotiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,21,27,NA,0,NA,Range,17,20,NA,0,NA,,,NA,NA,NA,NA,"Boissier 2020, Erard 1989, Smith 1938 (Iryanthera), Lopes 2023"
Iryanthera sagotiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,20,22,NA,0,NA,Range,19,21,NA,0,NA,,,NA,NA,NA,NA,"Boissier 2020, Erard 1989, Smith 1938 (Iryanthera), Lopes 2023"
Isertia coccinea,"Duhamelia coccinea, Guettarda coccinea, Phosanthus coccineus, Isertia flava",Rubiaceae,N,Green/Red,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,9.5569,SD,NA,NA,2.005860827,10,8.246,SD,NA,NA,1.663167527,10,NA,,,NA,NA,NA,NA,https://collections-botany.fieldmuseum.org/catalogue/311289
Jacaratia digitata,,Caricaceae,N,Orange,F,I,NA,,NA,NA,NA,NA,NA,Range,3,6,NA,0,NA,,NA,NA,NA,NA,0.05,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,7.33,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Norford Under Review, Stevenson 2002, Foster 1985"
Jacaratia digitata,,,,,,,206,None Specified,NA,NA,NA,6,4.5,None Specified,NA,NA,NA,7.5,3.75,None Specified,NA,NA,NA,7.5,0.04,W,None Specified,NA,NA,NA,0,117,None Specified,NA,NA,NA,5,45,None Specified,NA,NA,NA,5,72.28,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Norford Under Review, Stevenson 2002, Foster 1985"
Jacaratia digitata,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.01398058,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Norford Under Review, Stevenson 2002, Foster 1985"
Jacaratia spinosa,"Carica spinosa, Papaya spinosa, Carica dodecaphylla, Jacaratia costaricensis, Jacaratia dodecaphylla, Papaya dodecaphylla",Caricaceae,N,Orange,F,I,NA,,NA,NA,NA,NA,6,None Specified,NA,NA,NA,12.5,5,None Specified,NA,NA,NA,12.5,NA,,,NA,NA,NA,NA,68,None Specified,NA,NA,NA,12.5,42,None Specified,NA,NA,NA,12.5,50,W,None Specified,NA,NA,NA,12.5,"Galetti 2011, Luiz 2021"
Jacaratia spinosa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,58.263,W,Unknown +/-,NA,NA,15.483,100,
Jessenia bataua,Oenocarpus bataua,Arecaceae,N,Black/Purple,D,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,5.5,D,None Specified,NA,NA,NA,987,"Bodmer 1991, Mushtaq 2019, Balick 1986"
Jessenia bataua,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,5.9,D,SD,NA,NA,1.65,12,"Bodmer 1991, Mushtaq 2019, Balick 1986"
Jessenia bataua,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,4.1,D,SD,NA,NA,1.02,12,NA,Range,25,35,NA,0,NA,Range,20,25,NA,0,NA,NA,Range,10,15,NA,0,"Bodmer 1991, Mushtaq 2019, Balick 1986"
Joannesia princeps,,Euphorbiaceae,,,D,D,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Lacmellea acida,,Apocynaceae,N,NA,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Lacmellea aculeata,Zschokkea aculeata,Apocynaceae,N,Yellow,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,10.0805,SD,NA,NA,0.388201623,2,9.3605,SD,NA,NA,0.084145707,2,NA,,,NA,NA,NA,NA,https://collections-botany.fieldmuseum.org/catalogue/3661856
Lacmellea ramosissima,"Zschokkea ramosissima, Hancornia ramosissima",Apocynaceae,N,NA,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,9.9168,SD,NA,NA,1.1579,5,9.4934,SD,NA,NA,1.320790407,5,NA,,,NA,NA,NA,NA,https://collections-botany.fieldmuseum.org/catalogue/3686194
Laetia corymbulosa,Casearia corymbulosa,Salicaceae,N,Orange,F,I,NA,,NA,NA,NA,NA,3.07,None Specified,NA,NA,NA,0,2.6,None Specified,NA,NA,NA,0,0.01,D,SE,NA,NA,0.01,50,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.48,D,SE,NA,NA,0.04,7,"Stevenson 2007, Stevenson 2002, Link 2004, Melo 2015, Foster 1985, Parolin 2000, Conserva 2013, Lucas 2012, Stevenson 2005, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197251-1/images (K000471407)"
Laetia corymbulosa,,,,,,,NA,Range,10,20,NA,0,NA,Range,2,3,NA,0,2,None Specified,NA,NA,NA,6,0.01435154,W,None Specified,NA,NA,NA,6,NA,Range,15,25,NA,0,12.3,None Specified,NA,NA,NA,1,4.8,W,None Specified,NA,NA,NA,6,"Stevenson 2007, Stevenson 2002, Link 2004, de Melo et al. 2015, Foster 1985, Parolin 2000, Conserva 2013, Lucas 2012, Stevenson 2005, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197251-1/images (K000471407)"
Laetia corymbulosa,,,,,,,22,None Specified,NA,NA,NA,6,3.54,SD,NA,NA,0.47,100,2.37,SD,NA,NA,0.38,100,0.015,W,None Specified,NA,NA,NA,0,7,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,0.9,D,None Specified,NA,NA,NA,6,"Stevenson 2007, Stevenson 2002, Link 2004, Melo 2015, Foster 1985, Parolin 2000, Conserva 2013, Lucas 2012, Stevenson 2005, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197251-1/images (K000471407)"
Laetia corymbulosa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2,None Specified,NA,NA,NA,72,0.004,D,None Specified,NA,NA,NA,7,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2007, Stevenson 2002, Link 2004, de Melo et al. 2015, Foster 1985, Parolin 2000, Conserva 2013, Lucas 2012, Stevenson 2005, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197251-1/images (K000471407)"
Laetia corymbulosa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.01,D,None Specified,NA,NA,NA,6,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2007, Stevenson 2002, Link 2004, de Melo et al. 2015, Foster 1985, Parolin 2000, Conserva 2013, Lucas 2012, Stevenson 2005, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197251-1/images (K000471407)"
Laetia corymbulosa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.01,D,None Specified,NA,NA,NA,72,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2007, Stevenson 2002, Link 2004, de Melo et al. 2015, Foster 1985, Parolin 2000, Conserva 2013, Lucas 2012, Stevenson 2005, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197251-1/images (K000471407)"
Laetia corymbulosa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.069,W,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2007, Stevenson 2002, Link 2004, de Melo et al. 2015, Foster 1985, Parolin 2000, Conserva 2013, Lucas 2012, Stevenson 2005, https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197251-1/images (K000471407)"
Laetia procera,"Casearia bicolor, Casinga procera, Casearia belizensis, Guidonia procera, Laetia casearioides, Samyda procera",Salicaceae,N,Green,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.0052,D,None Specified,NA,NA,NA,30,4,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Daws 2005, Hammond 1995, Polak 1992, Guariguata 2000, Capece 2013, Kattge 2011, Dupuy 2008, Link 2004, http://legacy.tropicos.org/Image/62376"
Laetia procera,,,,,,,NA,Range,10,20,NA,0,NA,Range,2,3,NA,0,NA,Range,2,2.5,NA,0,0.007,W,None Specified,NA,NA,NA,0,8.286842105,SD,NA,NA,1.455868099,38,4.192105263,SD,NA,NA,1.136229321,38,NA,,,NA,NA,NA,NA,"Daws 2005, Hammond 1995, Polak 1992, Guariguata 2000, Capece 2013, Kattge 2011, Dupuy 2008, Link 2004, http://legacy.tropicos.org/Image/62376"
Laetia procera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.005,D,None Specified,NA,NA,NA,10,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Daws 2005, Hammond 1995, Polak 1992, Guariguata 2000, Capece 2013, Kattge 2011, Dupuy 2008, Link 2004, http://legacy.tropicos.org/Image/62376"
Laetia procera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.001,D,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Daws 2005, Hammond 1995, Polak 1992, Guariguata 2000, Capece 2013, Kattge 2011, Dupuy 2008, Link 2004, http://legacy.tropicos.org/Image/62376"
Laetia procera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.0036,D,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Daws 2005, Hammond 1995, Polak 1992, Guariguata 2000, Capece 2013, Kattge 2011, Dupuy 2008, Link 2004, http://legacy.tropicos.org/Image/62376"
Laetia procera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.005,W,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Laetia procera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.005,W,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Daws 2005, Hammond 1995, Polak 1992, Guariguata 2000, Capece 2013, Kattge 2011, Dupuy 2008, Link 2004, http://legacy.tropicos.org/Image/62376"
Landolphia guianensis,"Pacouria guianensis, Willughbeia guianensis, Willughbeia scandens",Apocynaceae,N,Yellow,F,I,5,None Specified,NA,NA,NA,0,18,None Specified,NA,NA,NA,0,15.7,None Specified,NA,NA,NA,0,1.77,W,None Specified,NA,NA,NA,0,120,None Specified,NA,NA,NA,0,110,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,Stevenson 2023
Landolphia guianensis,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.67,D,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Lantana camara,Camara vulgaris,Verbenaceae,N,Green/Blue/Black,F,I,2,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.009,D,None Specified,NA,NA,NA,10,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Nepstad 1996, Daws 2005, Mandon-Dalger 2004, Priyanka 2013, http://legacy.tropicos.org/Image/100420784"
Lantana camara,,,,,,,NA,Range,1,2,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.01,NA,None Specified,NA,NA,NA,0,5.033333333,SD,NA,NA,0.680685929,3,3.833333333,SD,NA,NA,0.503322296,3,NA,,,NA,NA,NA,NA,"Nepstad 1996, Daws 2005, Mandon-Dalger 2004, Priyanka 2013, http://legacy.tropicos.org/Image/100420784"
Lecythis pisonis,"Lecythis amapaensis, Lecythis amazonum, Lecythis densa, Lecythis hoppiana, Lecythis ollaria, Lecythis paraënsis, Lecythis pilaris, Lecythis setifera, Lecythis sphaeroides, Lecythis urnigera, Lecythis usitata, Lecythis velloziana, Couroupita crenulata, Couroupita lentula, Pachylecythis egleri",Lecythidaceae,N,Brown,D,D,39,None Specified,NA,NA,NA,0,39.3,None Specified,NA,NA,NA,0,23,None Specified,NA,NA,NA,0,5.56,NA,None Specified,NA,NA,NA,0,99,None Specified,NA,NA,NA,1,86.1,None Specified,NA,NA,NA,1,3278,NA,None Specified,NA,NA,NA,0,"Guimarães 2008, Smith 2016, Rosa 2019, García-Ramis 1991, Huang 2015"
