Article ID,Full Citation
Bentos 2013,"Bentos, T. V., Mesquita, R. C. G., Camargo, J. L. C., & Williamson, G. B. (2013). Seed and fruit tradeoffs – the economics of seed packaging in Amazon pioneers. Plant Ecology & Diversity, 7(1-2), 371-382. doi:10.1080/17550874.2012.740081"
Berg 1972,"Berg, C. C. (1972). Olmedieae Brosimeae (Moraceae) (Vol. 7). New York, New York: Hafner Publishing Company."
Berg 2001,"Berg, C. C. (2001). Artocarpeae, and Dorstenia (Moraceae), with introductions to the family and Ficus and with additions and corrections to Flora Neotropica Monograph 7. Flora Neotropica, 83, iii-iv, 1-346. Retrieved from https://www.jstor.org/stable/4393905"
Berg 2005,"Berg, C. C., Rosselli, P. F., & Davidson, D. W. (2005). Cecropia. In P. F. R. Cornelis C. Berg (Ed.), Flora Neotropica (Vol. 94, pp. 1-230). Bronx, NY: The New York Botanical Garden."
Bernacki 2015,"Bernacki, F. G., Albornoz, P. L., Valoy, M., & Ordano, M. (2015). Anatomy of flower and fruit of Vassobia breviflora (Solanaceae) in the south of the southern Yungas (Argentina). Revista Internacional de Botanica Experimental, 84, 478-487."
Bernal 2010,"Bernal, R., Galeano, G., García, N., Olivares, I. L., & Cocomá, C. (2010). Uses and commercial prospects for the wine palm, Attalea butyracea, in Colombia. Enthnobotany Research and Applications, 8, 255-268. Retrieved from www.ethnobotanyjournal.org/vol8/i1547-3465-08-255.p"
Beyhan 2011,"Beyhan, O., Bozkurt, M. A., & Boysal, S. C. (2011). Determination of macro-micro nutrient contents in dried fruit and leaves of some pomological characteristics of selected Feijoa genotypes (Feijoa sellowiana Berg.) frin Sakarya provinces in Turkey. The Journal of Animal & Plant Sciences, 21(2), 251-255."
Bianconi 2007,"Bianconi, G. V., Mikich, S. B., Teixeira, S. D., & Maia, B. H. L. N. S. (2007). Attraction of fruit-eating bats with essential oils of fruits: A potential tool for forest restoration. Biotropica, 39(1), 136-140. doi:10.1111/j.1744-7429.2006.00236.x"
Bieber 2015,"Bieber, A. G. D., Silva, P. S. D., & Oliveira, P. S. (2015). Attractiveness of fallen fleshy fruits to ants depends on previous handling by frugivores. Écoscience, 20(1), 85-89. doi:10.2980/20-1-3573"
Biral 2017,"Biral, L., Simmons, M. P., Smidt, E. C., Tembrock, L. R., Bolson, M., Archer, R. H., & Lombardi, J. A. (2017). Systematics of New World Maytenus (Celastraceae) and a New Delimitation of the Genus. Systematic Botany, 42(4), 680-693. doi:10.1600/036364417x696456"
Bizzerril 2005,"Bizzerril, M. X. A., Rodrigues, F. H. G., & Hass, A. (2005). Fruit consumption and seed dispersal of Dimorphandra mollis Benth. (Leguminosae) by the low tapir in the cerrando of Central Brazil. Brazilian Journal of Biology, 65(3), 407-413. doi:10.1590/s1519-69842005000300005"
Blackwell 1967,"Blackwell Jr., W. H., Woodson Jr., R. E., & Schery, R. W. (1967). Part VIII. Family 159. Loganiaceae. In R. E. Woodson Jr. & R. W. Schery (Eds.), Flora of Panama (Vol. 54, pp. 393-413). St. Louis, MO: Missouri Botanical Garden Press."
Blanco 2019,"Blanco, G., Bravo, C., Chamorro, D., Lovas‐Kiss, Á., Hiraldo, F., & Tella, J. L. (2019). Herb endozoochory by cockatoos: Is ‘foliage the fruit’? Austral Ecology, 45(1), 122-126. doi:10.1111/aec.12835"
Bodmer 1991,"Bodmer, R. E. (1991). Strategies of seed dispersal and seed predation in Amazonian ungulates. Biotropica, 23(3), 255-261. Retrieved from https://www.jstor.org/stable/2388202"
Boissier 2014,"Boissier, O., Bouiges, A., Mendoza, I., Feer, F., & Forget, P. M. (2014). Rapid Assessment of Seed Removal and Frugivore Activity as a Tool for Monitoring the Health Status of Tropical Forests. Biotropica, 46(5), 633-641. doi:10.1111/btp.12134"
Boissier 2020,"Boissier, O., Feer, F., Henry, P.-Y., & Forget, P.-M. (2020). Modifications of the rain forest frugivore community are associated with reduced seed removal at the community level. Ecological Applications, 30(4). doi:10.1002/eap.2086"
Bonaccorso 1975,"Bonaccorso, F. J. (1975). Foraging and reproductive ecology in a community of bats in Panama. (Unpublished doctoral dissertation). University of Flordia, Gainesville, FL."
Bonaccorso 1980,"Bonaccorso, F. J., Glanz, W. E., & Sandford, C. M. (1980). Feeding assemblages of mammals at fruiting Dipteryx panamensis (Papi lionaceae) trees in Panama: seed predation, dispersal, and parasitism. Revista de Biología Tropical, 28(1), 61-72. Retrieved from https://tropicalstudies.org/rbt/attachments/volumes/vol28-1/05-Bonaccorso-Dipteryx.pdf"
Almeida 2007,"Almeida, L. B. de, & Galetti, M. (2007). Seed dispersal and spatial distribution of Attalea geraensis (Arecaceae) in two remnants of Cerrado in Southeastern Brazil. Acta Oecologica, 32(2), 180-187. doi:10.1016/j.actao.2007.04.001"
Borchsenius 1998,"Borchsenius, F., Pedersen, H. B., & Balslev, H. (1998). Manual to the palms of Ecuador. AAU Report 37. Aarhus, Denmark: Department of Systematic Botany, University of Aarhus."
Borghetti 2019,"Borghetti, F., de Andrade, L. A. Z., Schmidt, I. B., & Barbosa, E. R. M. (2019). Seed germination and seedling recruitment of Dimorphandra mollis Benth. in a Neotropical savanna subjected to prescribed fires. Folia Geobotanica, 54(1-2), 43-51. doi:10.1007/s12224-019-09338-3"
Bortolotto 2021,"Bortolotto, I. M., de Cássia Avellaneda Guimarães, R., Campos, R. P., da Silva Lopes, M. R., da Silva, L. P. R., Silva, R. H., . . . Hiane, P. A. (2021). Food composition data: edible plants in Pantanal. In Local Food Plants of Brazil (pp. 297-324)."
Bosque 1995,"Bosque, C., Ramírez, R., & Rodríguez, D. (1995). The diet of the oilbird in Venezuela. Ornitologia Neotropical, 6, 67-80. Retrieved from https://digitalcommons.usf.edu/cgi/viewcontent.cgi?article=1063&context=ornitologia_neotropical"
Boubli 1997,"Boubli, J. P. (1997). Ecology of the black Uakari monkey, Cacajao melanocephalus melanocephalus, in Pico da Neblina National Park, Brazil. (Doctoral dissertation). University of California, Berkeley, Ann Arbor, MI. UMI ProQuest Digital Dissertation database."
Braun 1988,"Braun, P. J. (1988). On the taxonomy of Brazilian Cereeae (Cactaceae). Bradleya, 6(6), 85-99. doi:10.25223/brad.n6.1988.a4"
Brechú-Franco 2021,"Brechú-Franco, A. E., Larqué-Saavedra, A. F., Laguna-Hernández, G., Pasillas-Rodríguez, K., & Espinosa-Matias, S. (2021). Morphology, structure, and histochemistry of the inflorescences, fruit, and seed of the Ramón nut, Brosimum alicastrum Sw. subsp. alicastrum CC Berg (Moraceae). Brazilian Journal of Botany, 44(2), 457-466. doi:10.1007/s40415-021-00708-w"
Bremekamp 1959,"Bremekamp, C. E. B. (1959). A species of Antirhea (Rubiaceae) from suriname. In Acta Botanica Neerlandka (Vol. 8, pp. 479-481). Botanical Museum and Herbarium, Utrecht: Mededelingen van het Botanisch Museum en Herbarium van de Rijksuniversiteit te Utrecht."
Brewer 2009,"Brewer, S. W., & Rejmánek, M. (2009). Small rodents as significant dispersers of tree seeds in a Neotropical forest. Journal of Vegetation Science, 10(2), 165-174. doi:10.2307/3237138"
Brito 2019,"Brito, A. C. P. d., Sousa, A. J. B., Silva, R. T. L. d., Braga, N. S., Monfort, L. E. F., Júnior, M. V. R. d. O., . . . Neto, C. F. d. O. (2019). Emergency and growth of Andiroba seedlings (Carapa guianensis Aubl.) in function of the seeds. Journal of Agricultural Science, 11(9). doi:10.5539/jas.v11n9p293"
Britton 1908,"Britton, N. L., & Shafer, J. A. (1908). North American trees : being descriptions and illustrations of the trees growing independently of cultivation in North America, north of Mexico and the West Indies. New York, NY: H. Holt & Co."
Brokamp 2013,"Brokamp, G. (2013). Biology, sustainability and socio-economic impact of wild plant collection in NW South America. (Unpublished doctoral dissertation). Freie Universität Berlin, Berlin."
Bronstein 1986,"Bronstein, J. L. (1986). Coevolution and constraints in a neotropical fig- pollinator wasp mutualism. (Doctoral dissertation). University of Michigan, Ann Arbor, MI. University Microfilms International database."
Bronstein 1988,"Bronstein, J. L. (1988). Mutualism, antagonism, and the fig-pollinator interaction. Ecology, 69(4), 1298-1302. doi:10.2307/1941287"
Paine 2007,"Paine, C. E. T., & Beck, H. (2007). Seed predation by neotropical rainforest mammals increases diversity in seedling recuritment. Ecology, 88(12), 3076–3087."
Caboco 2012,"Caboco, R. B., Rolim, T. P., Sartori, A. n. L. c. B., & Sciamarelli, A. (2012). Leguminosae-papilionoideae from the parque estadual das Várzeas do Rio Ivinhema, Mato Grosso do Sul State, Brazil. Biota Neotropica, 12(2), 58-70. doi:10.1590/S1676-06032012000200007"
Caceres 2012,"Caceres, N. C. (2012). Os marupiais do Brasil: Biologia, ecologia, e conservacao. Brazil: UFMS Publisher."
Camargo-Sanabria 2016,"Camargo-Sanabria, A. A., & Mendoza, E. (2016). Interactions between terrestrial mammals and the fruits of two neotropical rainforest tree species. Acta Oecologica, 73, 45-52. doi:10.1016/j.actao.2016.02.005"
Canale 2016,"Canale, G. R., Suscke, P., Rocha-Santos, L., Bernardo, C. S., Martins Kierulff, M. C., & Chivers, D. J. (2016). Seed dispersal of threatened tree species by a critically endangered primate in a Brazilian hotspot. Folia Primatol (Basel), 87(3), 123-140. doi:10.1159/000447712"
Capece 2013,"Capece, P. I., Aliaga-Rossel, E., & Jansen, P. A. (2013). Viability of small seeds found in feces of the Central American tapir on Barro Colorado Island, Panama. Integrative Zoology, 8(1), 57-62. doi:10.1111/j.1749-4877.2012.00313.x"
Capon 2017,"Capon, D. S., Nitural, P. S., & Dela Cruz, N. E. (2017). Nutrient use efficienty, yield and fruit quality of sweet corn (Zea mays saccharata Sturt.) grown under different fertilizer management schemes. International Journal of Agricultural Technology 2017, 13(7.1), 1413-1435. Retrieved from http://www.ijat-aatsea.com"
Cárdenas 2021,"Cárdenas, S., Echeverry‐Galvis, M. Á., & Stevenson, P. R. (2021). Seed dispersal effectiveness by oilbirds (Steatornis caripensis) in the Southern Andes of Colombia. Biotropica, 53(2), 671-680. doi:10.1111/btp.12908"
Ramos et al. 2020,"Ramos, G., Cardoso, D. B. O. S., & Pennington, R. T. (2020). Andira lam. Systematic Botany Monographs, 64, 1-53. Retrieved from https://floradobrasil.jbrj.gov.br/consulta/ficha.html?idDadosListaBrasil=22786"
Cardoso 2021,"Cardoso, I. B., do Vale Beirão, M., Cuevas-Reyes, P., Maldonado-López, Y., Aguilar-Peralta, J. S., & de Abreu Moreira, P. (2021). Effects of landscape disturbance on seed germination of Enterolobium contortisiliquum (Fabaceae) in Brazilian seasonally tropical dry forest: Are seeds a sensitive biomarker of environmental stress? Ecological Indicators, 125. doi:10.1016/j.ecolind.2021.107451"
Cardozo 2016,"Cardozo, N. M. D. (2016). Phylogeny and taxonomy of Henriquezieae benth. & hook. F (Ixoroideae, Rubiaceae) in the Guiana shield. (Unpublished doctoral dissertation). Universidade Estadual de Campinas Instituto de Biologia, São Paulo, Brazil."
Vasconcelos 2017,"Vasconcelos, C. da C. (2017). Frutos, sementes e plantulas de especies neotropicais de Chrysophylloideae (Sapotaceae). (Unpublished master's thesis). Instituto Nacional de Pesquisas da Amazônia, Manaus, Amazonas."
Carter 2015,"Carter, C. T. (2015). Chemical and functional properties of Brosimum alicastrum seed powder (Maya nut, Ramon nut). (Master's thesis). Graduate School of Clemson University, MI, USA. Available from ProQuest"
Sakuragui 2005,"Sakuragui, C. M., Mayo, S. J., & Zappi, D. C. (2005). Taxonomic revision of Brazilian species of Philodendron section Macrobelium. Kew Plants People Possibilities, 60(4), 465-513. Retrieved from https://www.jstor.org/stable/25070239"
Cassir 2023,"Cassir, P., Izverscaia, T., & Ghendov, V. (2023). Eclipta prostrata (L.) L. (asteraceae) – new species for the flora of Republic of Moldova. Studia Universitatis Moldaviae. Seria Științe ale Naturii(1(171)), 146-150. doi:10.59295/sum1(171)2023_19"
Castillo-Flores 2003,"Castillo-Flores, A. A., & Calvo-Irabién, L. M. (2003). Animal dispersal of two secondary-vegetation herbs into the evergreen rain forest of south-eastern Mexico. Journal of Tropical Ecology, 19(3), 271-278. doi:10.1017/s0266467403003304"
Castro 2012,"Castro, J. M., & Emmons, L. H. (2012). Variation in diet and resources. Smithsonian Contributions to Zoology, 639, 37-55. doi:10.5479/SI.00810282.639.37"
Castro 2013,"Castro, N. J. G. (2013). Evaluación del efecto de la cosecha de Astrocaryum standleyanum y Astrocaryum chambira para la obtención de fibras en Colombia y propuestas de manejo para su uso sostenible. (Doctor)."
Chandana 2022,"Chandana, K. P., Hemanth Kumar, N. K., Prithviraj, H. S., Basavaraj, G. L., Nataraj, K., & Shobha, J. (2022). An efficient in vitro callogenesis from various explants of Passiflora vitifolia kunth: An important medicinal and ornamental plant. World Journal of Advanced Research and Reviews, 16(3), 723-729. doi:10.30574/wjarr.2022.16.3.1415"
Chauvet 2004,"Chauvet, S., Feer, F., & Forget, P.-M. (2004). Seed fate of two Sapotaceae species in a Guianan rain forest in the context of escape and satiation hypotheses. Journal of Tropical Ecology, 20(01), 1-9. doi:10.1017/s0266467404006121"
Chen 2011,"Chen, I., & Manchester, S. R. (2011). Seed Morphology of Vitaceae. International Journal of Plant Sciences, 172(1), 1-35. doi:10.1086/657283"
Chhikara 2018,"Chhikara, N., Kaur, R., Jaglan, S., Sharma, P., Gat, Y., & Panghal, A. (2018). Bioactive compounds and pharmacological and food applications of Syzygium cumini - a review. Food Function, 9(12), 6096-6115. doi:10.1039/c8fo00654g"
Chiapero 2021,"Chiapero, A. L., Aguilar, R., Galfrascoli, G. M., Bernardello, G., Quesada, M., & Ashworth, L. (2021). Reproductive resilience to habitat fragmentation of Lithraea molleoides (Anacardiaceae), a dominant dioecious tree from the Chaco Serrano. Forest Ecology and Management, 492. doi:10.1016/j.foreco.2021.119215"
Chuma 2021,"Chuma, V., & Norris, D. (2021). Contribution of Vouacapoua americana fruit-fall to the release of biomass in a lowland Amazon forest. Scientific Reports, 11(1), 4302. doi:10.1038/s41598-021-83803-y"
Chuma 2017,"Chuma, V. J. U. R. (2017). Prevendo padroes espaciais de queda de frutos na floresta nacional do Amapá. (Unpublished master's and doctoral dissertation). Universidade Federal do Amapá, Macapá, Brazil."
Chung 2017,"Chung, I. M., Rajakumar, G., Lee, J. H., Kim, S. H., & Thiruvengadam, M. (2017). Ethnopharmacological uses, phytochemistry, biological activities, and biotechnological applications of Eclipta prostrata. Applied Microbiology Biotechnology, 101(13), 5247-5257. doi:10.1007/s00253-017-8363-9"
Cintra 1997,"Cintra, R. (1997). Leaf litter effects on seed and seedling predation of the palm Astrocaryum murumuru and the legume tree Dipteryx micrantha in Amazonian Forest. Journal of Tropical Ecology, 13(5), 709-725. doi:10.1017/s0266467400010889"
Clement 2006,"Clement, C. R. (2006). Fruit trees and the transition to food production in Amazonia. In E. William, Clark L. (Ed.), Time and complexity of historical ecology in the neotropical lowlands: studies in historical ecology. New York Chichester, West Sussex: Columbia University Press."
Cloutier 2007,"Cloutier, D., Kanashiro, M., Ciampi, A. Y., & Schoen, D. J. (2007). Impact of selective logging on inbreeding and gene dispersal in an Amazonian tree population of Carapa guianensis Aubl. Molecular Ecology, 16(4), 797-809. doi:10.1111/j.1365-294X.2006.03193.x"
